i,U,K,Px,Py,Pz,Ne
0,-59283257.15190539,18970747.092155818,-4244.551162620704,6859.4078559295585,-3741.1467963340424,0.0
1,-59303953.21400438,19017133.24637087,-4244.551162620646,6859.407855929509,-3741.146796334072,0.0
2,-59368547.601225585,19071865.587681368,-4244.551162620692,6859.407855929508,-3741.1467963341206,2.0
3,-59477279.32405017,19192905.80342323,-4244.55116262072,6859.407855929557,-3741.1467963341534,2.0
4,-59630191.670036145,19359464.728675343,-4244.551162620715,6859.40785592945,-3741.14679633408,2.0
5,-59828476.381423555,19593749.5603857,-4244.551162620679,6859.4078559296295,-3741.146796334066,2.0
6,-60071313.56784346,19822775.068114765,-4244.551162620685,6859.407855929393,-3741.146796334107,4.0
7,-60360571.70592797,20121654.271495607,-4244.551162620673,6859.40785592951,-3741.14679633411,4.0
8,-60697142.49660277,20466660.9723838,-4244.551162620718,6859.407855929664,-3741.146796334098,4.0
9,-61082893.67809424,20862569.798197273,-4244.5511626206235,6859.407855929536,-3741.146796334102,4.0
10,-61517176.080063716,21303439.368459456,-4244.55116262074,6859.407855929697,-3741.146796334011,4.0
11,-62003021.67090784,21805812.86370772,-4244.551162620614,6859.407855929708,-3741.1467963340706,4.0
12,-62540708.598350056,22386128.081914302,-4244.551162620727,6859.407855929542,-3741.1467963341365,4.0
13,-63130646.2377928,22989621.863037504,-4244.551162620706,6859.407855929573,-3741.1467963341265,4.0
14,-63773820.92127696,23645665.643263273,-4244.551162620672,6859.40785592954,-3741.1467963341097,4.0
15,-64471010.5837557,24353897.78948632,-4244.551162620703,6859.407855929643,-3741.146796334083,4.0
16,-65224032.57215986,25120156.1169559,-4244.551162620674,6859.4078559295685,-3741.1467963340374,4.0
17,-66032738.59666713,25942546.46903781,-4244.551162620806,6859.40785592953,-3741.1467963340397,4.0
18,-66897584.14287014,26817608.164186906,-4244.5511626206335,6859.407855929561,-3741.146796334081,4.0
19,-67818881.31370753,27751111.452116057,-4244.551162620671,6859.407855929529,-3741.1467963340947,4.0
20,-68796308.6825563,28734338.90743311,-4244.551162620698,6859.40785592959,-3741.1467963340383,4.0
21,-69828505.80507672,29794635.532004658,-4244.551162620703,6859.407855929537,-3741.146796333992,4.0
22,-70911053.5317507,30941194.39513173,-4244.551162620615,6859.407855929633,-3741.1467963342348,4.0
23,-72040291.23185673,32125636.114149798,-4244.551162620737,6859.407855929425,-3741.146796334124,4.0
24,-73209849.29729949,33333060.656282477,-4244.551162620844,6859.407855929431,-3741.146796334048,4.0
25,-74413752.73552585,34582843.10373443,-4244.55116262068,6859.407855929384,-3741.146796334111,4.0
26,-75645738.31701876,35846207.64874071,-4244.551162620635,6859.407855929471,-3741.146796334093,4.0
27,-76898058.28038426,37122109.27105983,-4244.551162620631,6859.407855929494,-3741.146796334117,4.0
28,-78160977.30572754,38408740.979846366,-4244.551162620642,6859.4078559295285,-3741.1467963339787,4.0
29,-79425592.70186603,39711489.26723055,-4244.5511626206135,6859.407855929595,-3741.146796334119,5.0
30,-80676691.97927928,41029152.860456124,-4244.551162620709,6859.407855929584,-3741.1467963340724,4.0
31,-81904117.7611789,42318930.23632207,-4244.551162620611,6859.40785592959,-3741.1467963340865,4.0
32,-83092128.69112478,43553913.85119805,-4244.551162620633,6859.407855929502,-3741.146796334095,4.0
33,-84227402.07916534,44745770.375109114,-4244.551162620757,6859.407855929522,-3741.1467963340788,4.0
34,-85297880.97959596,45848140.763272785,-4244.551162620726,6859.4078559294385,-3741.1467963341806,4.0
35,-86289229.20567703,46879248.83714892,-4244.551162620659,6859.407855929523,-3741.146796334118,4.0
36,-87195566.03389548,47827773.255574815,-4244.551162620645,6859.407855929576,-3741.1467963341743,4.0
37,-88008158.27862376,48670868.85331823,-4244.551162620599,6859.407855929588,-3741.1467963339787,4.0
38,-88726696.87409134,49439457.17823955,-4244.5511626206735,6859.407855929616,-3741.1467963340356,4.0
39,-89349348.64341815,50139117.345171385,-4244.5511626206635,6859.40785592959,-3741.146796334163,4.0
40,-89878532.79034682,50704012.61633015,-4244.551162620666,6859.407855929531,-3741.1467963342166,6.0
41,-90318247.59787649,51182905.1871162,-4244.551162620701,6859.407855929546,-3741.146796334082,7.0
42,-90670320.17261222,51592872.08078029,-4244.551162620625,6859.407855929565,-3741.1467963341,7.0
43,-90939276.97562924,51926411.33328659,-4244.551162620693,6859.407855929605,-3741.146796334039,7.0
44,-91128030.68797934,52185183.47887296,-4244.551162620713,6859.4078559294985,-3741.14679633412,7.0
45,-91240200.74885261,52346606.59134333,-4244.551162620636,6859.407855929502,-3741.1467963340992,11.0
